"filename", "language", "YAML", "Markdown", "C++", "Swift", "JSON", "Dart", "XML", "HTML", "Groovy", "Properties", "comment", "blank", "total"
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\account\account_page.dart", "Dart", 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, -5, -24
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\activity\activity_page.dart", "Dart", 0, 0, 0, 0, 0, -33, 0, 0, 0, 0, 0, -4, -37
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\home\home_page.dart", "Dart", 0, 0, 0, 0, 0, -207, 0, 0, 0, 0, 0, -17, -224
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\logic\map_logic.dart", "Dart", 0, 0, 0, 0, 0, -43, 0, 0, 0, 0, 0, -10, -53
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\logic\search_destination\search_destination_logic.dart", "Dart", 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, -4, -29
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\view\initial_map\initial_map_page.dart", "Dart", 0, 0, 0, 0, 0, -119, 0, 0, 0, 0, 0, -11, -130
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\view\search_destination\search_destination_page.dart", "Dart", 0, 0, 0, 0, 0, -245, 0, 0, 0, 0, -1, -13, -259
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\widgets\map_widgets\circle_with_box_shadow.dart", "Dart", 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, 0, -4, -26
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\widgets\map_widgets\location_icon.dart", "Dart", 0, 0, 0, 0, 0, -69, 0, 0, 0, 0, 0, -10, -79
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\map\widgets\search_text_field.dart", "Dart", 0, 0, 0, 0, 0, -31, 0, 0, 0, 0, 0, -3, -34
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\code_verification\logic\code_verification_logic.dart", "Dart", 0, 0, 0, 0, 0, -27, 0, 0, 0, 0, 0, -4, -31
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\code_verification\view\code_verification.dart", "Dart", 0, 0, 0, 0, 0, -186, 0, 0, 0, 0, 0, -11, -197
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\complete_user_info\logic\complete_user_logic.dart", "Dart", 0, 0, 0, 0, 0, -77, 0, 0, 0, 0, -2, -18, -97
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\complete_user_info\view\complete_user_info.dart", "Dart", 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, -5, -91
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\register_page\logic\register_page_logic.dart", "Dart", 0, 0, 0, 0, 0, -18, 0, 0, 0, 0, 0, -3, -21
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\register_page\view\register_page.dart", "Dart", 0, 0, 0, 0, 0, -168, 0, 0, 0, 0, 0, -12, -180
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\widgets\custom_register_button.dart", "Dart", 0, 0, 0, 0, 0, -78, 0, 0, 0, 0, 0, -7, -85
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\register\widgets\next_button.dart", "Dart", 0, 0, 0, 0, 0, -51, 0, 0, 0, 0, 0, -3, -54
"d:\uber\flutter-clean-architecture-uber\lib\presentation\pages\type_of_register\type_of_register.dart", "Dart", 0, 0, 0, 0, 0, -54, 0, 0, 0, 0, 0, -9, -63
